entity_id,label_value,score,race,sex
1,1,0.0,White,Female
2,1,1.0,White,Female
3,1,0.0,White,Male
4,1,1.0,Hispanic,Male
5,1,0.0,White,Female
6,1,1.0,White,Female
7,1,0.0,White,Male
8,0,0.0,White,Male
9,1,1.0,White,Female
10,1,1.0,White,Male
11,1,1.0,White,Male
12,1,0.0,White,Male
13,1,0.0,White,Female
14,1,0.0,White,Male
15,1,0.0,White,Male
16,1,1.0,White,Male
17,1,1.0,White,Female
18,1,1.0,White,Male
19,1,1.0,White,Male
20,1,1.0,White,Male
21,1,1.0,White,Male
22,1,1.0,White,Male
23,1,0.0,White,Male
24,1,1.0,Asian,Male
25,1,1.0,White,Female
26,1,0.0,Black,Male
27,1,0.0,White,Male
28,1,0.0,White,Male
29,1,0.0,White,Male
30,1,0.0,White,Male
31,1,0.0,White,Male
32,1,1.0,White,Male
33,1,1.0,White,Male
34,1,0.0,White,Female
35,1,1.0,White,Male
36,0,0.0,White,Male
37,1,1.0,White,Male
38,1,1.0,White,Male
39,1,1.0,White,Male
40,0,0.0,White,Female
41,1,1.0,White,Male
42,0,0.0,Black,Female
43,1,1.0,White,Female
44,1,1.0,White,Female
45,1,0.0,Hispanic,Female
46,1,0.0,White,Male
47,1,0.0,Other,Male
48,1,0.0,White,Female
49,1,1.0,White,Male
50,1,1.0,White,Male
51,1,1.0,White,Female
52,1,0.0,White,Female
53,0,0.0,White,Male
54,1,0.0,White,Male
55,1,1.0,Black,Female
56,1,1.0,White,Male
57,1,0.0,White,Female
58,1,0.0,White,Male
59,1,1.0,White,Male
60,1,0.0,White,Male
61,1,0.0,White,Male
62,1,1.0,White,Female
63,1,0.0,Asian,Female
64,0,0.0,White,Male
65,1,1.0,White,Female
66,1,0.0,White,Male
67,1,1.0,White,Male
68,1,0.0,Asian,Male
69,1,0.0,White,Female
70,1,0.0,White,Female
71,1,0.0,White,Female
72,0,0.0,White,Male
73,1,0.0,White,Male
74,1,0.0,White,Female
75,0,0.0,Black,Male
76,1,1.0,White,Male
77,1,1.0,White,Male
78,1,0.0,White,Female
79,1,1.0,White,Male
80,1,0.0,Hispanic,Female
81,1,1.0,White,Male
82,1,0.0,White,Male
83,1,1.0,White,Male
84,1,0.0,White,Male
85,1,1.0,White,Female
86,1,1.0,White,Male
87,1,0.0,White,Male
88,1,0.0,White,Male
89,1,0.0,White,Male
90,1,0.0,White,Female
91,1,0.0,White,Female
92,1,1.0,White,Female
93,1,0.0,White,Female
94,1,0.0,White,Female
95,0,0.0,White,Male
96,1,0.0,White,Female
97,1,1.0,White,Female
98,1,1.0,White,Male
99,1,0.0,White,Male
100,1,0.0,White,Male
101,1,0.0,White,Female
102,1,0.0,White,Female
103,1,1.0,White,Female
104,1,1.0,White,Female
105,1,0.0,White,Male
106,1,1.0,White,Female
107,1,0.0,White,Female
108,1,0.0,White,Female
109,1,0.0,White,Male
110,1,0.0,White,Male
111,1,1.0,White,Female
112,1,1.0,White,Male
113,1,1.0,White,Female
114,1,0.0,White,Male
115,1,1.0,White,Female
116,1,0.0,White,Male
117,1,0.0,White,Female
118,1,1.0,White,Female
119,1,0.0,White,Male
120,0,0.0,White,Male
121,1,0.0,White,Male
122,1,1.0,White,Female
123,1,1.0,White,Male
124,1,0.0,White,Female
125,1,1.0,White,Male
126,1,1.0,White,Male
127,1,1.0,White,Male
128,1,1.0,White,Male
129,1,1.0,White,Male
130,1,1.0,White,Female
131,1,0.0,White,Male
132,1,1.0,White,Male
133,1,0.0,Asian,Female
134,1,1.0,White,Female
135,1,0.0,White,Male
136,1,1.0,White,Female
137,1,0.0,White,Female
138,1,1.0,White,Male
139,1,0.0,White,Female
140,1,1.0,White,Male
141,1,1.0,White,Male
142,1,1.0,White,Female
143,1,0.0,Black,Female
144,1,0.0,White,Female
145,1,0.0,White,Female
146,1,0.0,White,Male
147,1,1.0,White,Female
148,1,0.0,White,Male
149,1,1.0,White,Male
150,1,1.0,White,Male
151,1,1.0,White,Male
152,1,1.0,White,Female
153,1,0.0,Asian,Male
154,1,1.0,White,Female
155,1,1.0,White,Male
156,1,1.0,White,Female
157,1,1.0,White,Male
158,1,1.0,White,Male
159,1,0.0,White,Female
160,1,1.0,White,Male
161,1,0.0,Hispanic,Female
162,1,1.0,White,Male
163,1,0.0,White,Female
164,1,1.0,White,Male
165,1,0.0,Other,Female
166,1,0.0,Asian,Female
167,1,0.0,White,Male
168,1,1.0,White,Female
169,1,1.0,White,Female
170,1,1.0,White,Male
171,1,1.0,White,Female
172,1,1.0,White,Male
173,1,0.0,White,Male
174,1,0.0,White,Male
175,1,1.0,White,Male
176,1,0.0,White,Male
177,1,1.0,White,Male
178,1,1.0,White,Male
179,1,1.0,White,Male
180,1,1.0,White,Male
181,1,0.0,White,Male
182,1,0.0,White,Male
183,1,0.0,Black,Female
184,1,1.0,White,Female
185,1,1.0,White,Female
186,1,0.0,White,Male
187,1,1.0,White,Female
188,1,0.0,White,Male
189,1,1.0,White,Female
190,1,1.0,White,Male
191,1,1.0,White,Female
192,1,0.0,White,Male
193,1,1.0,White,Male
194,1,0.0,White,Female
195,1,0.0,White,Female
196,1,1.0,White,Male
197,1,0.0,Hispanic,Female
198,0,0.0,White,Female
199,1,1.0,White,Female
200,1,0.0,White,Female
201,1,1.0,White,Female
202,0,0.0,White,Male
203,1,1.0,White,Female
204,1,0.0,White,Female
205,1,1.0,White,Male
206,1,1.0,White,Female
207,1,1.0,White,Female
208,1,1.0,White,Female
209,1,0.0,White,Female
210,1,0.0,White,Male
211,1,0.0,White,Female
212,1,0.0,White,Male
213,1,1.0,White,Female
214,0,0.0,White,Male
215,1,1.0,White,Female
216,1,1.0,White,Female
217,1,0.0,White,Male
218,1,0.0,White,Female
219,1,0.0,White,Male
220,1,0.0,White,Female
221,1,1.0,White,Female
222,0,0.0,White,Female
223,1,1.0,White,Male
224,1,0.0,White,Female
225,1,1.0,White,Female
226,1,0.0,White,Male
227,1,1.0,White,Male
228,1,0.0,White,Male
229,1,1.0,White,Male
230,1,1.0,White,Male
231,1,1.0,White,Female
232,1,0.0,White,Male
233,1,0.0,White,Male
234,1,1.0,White,Male
235,1,1.0,White,Male
236,1,1.0,White,Male
237,1,1.0,White,Male
238,1,1.0,White,Female
239,1,1.0,White,Male
240,1,1.0,White,Male
241,1,1.0,White,Male
242,1,1.0,White,Female
243,1,1.0,White,Male
244,1,0.0,White,Male
245,1,1.0,White,Male
246,1,1.0,White,Male
247,1,1.0,White,Female
248,1,1.0,White,Male
249,1,1.0,White,Male
250,1,0.0,White,Female
251,0,0.0,White,Male
252,1,0.0,White,Male
253,1,1.0,White,Male
254,1,1.0,Other,Male
255,0,0.0,Black,Male
256,1,1.0,White,Female
257,1,0.0,White,Male
258,1,1.0,White,Male
259,0,0.0,Black,Female
260,1,1.0,White,Male
261,1,1.0,White,Female
262,1,0.0,White,Female
263,1,1.0,White,Male
264,1,0.0,White,Female
265,0,0.0,White,Male
266,1,1.0,White,Male
267,1,1.0,White,Female
268,1,1.0,Other,Female
269,0,0.0,Other,Male
270,1,0.0,White,Male
271,1,0.0,White,Female
272,1,1.0,White,Female
273,1,1.0,White,Female
274,1,1.0,White,Male
275,1,1.0,White,Female
276,1,1.0,White,Female
277,1,1.0,White,Female
278,1,1.0,White,Female
279,1,1.0,Asian,Male
280,1,0.0,White,Female
281,1,1.0,White,Female
282,1,1.0,White,Female
283,1,0.0,White,Male
284,1,0.0,White,Male
285,1,1.0,White,Male
286,0,0.0,Black,Female
287,1,0.0,White,Male
288,1,0.0,White,Male
289,0,0.0,Hispanic,Male
290,1,0.0,White,Male
291,1,1.0,White,Male
292,1,1.0,White,Female
293,1,0.0,White,Male
294,1,0.0,White,Male
295,1,1.0,White,Male
296,1,1.0,Asian,Male
297,1,1.0,White,Male
298,1,0.0,White,Male
299,1,1.0,White,Male
300,1,0.0,White,Male
301,1,1.0,Hispanic,Male
302,1,1.0,White,Female
303,1,0.0,White,Male
304,1,0.0,White,Male
305,1,1.0,White,Female
306,1,1.0,White,Female
307,1,1.0,White,Male
308,1,1.0,White,Female
309,1,1.0,White,Male
310,1,1.0,White,Female
311,1,1.0,White,Female
312,1,1.0,White,Female
313,1,0.0,White,Female
314,1,0.0,White,Female
315,0,0.0,Black,Female
316,1,0.0,White,Male
317,1,0.0,White,Male
318,1,1.0,White,Female
319,1,1.0,White,Male
320,1,1.0,White,Male
321,1,1.0,White,Male
322,1,1.0,White,Male
323,1,1.0,White,Female
324,1,0.0,White,Female
325,1,1.0,White,Female
326,1,1.0,White,Female
327,1,1.0,White,Female
328,1,1.0,White,Male
329,1,1.0,Asian,Male
330,1,0.0,White,Male
331,1,1.0,White,Female
332,1,1.0,Hispanic,Female
333,1,1.0,White,Female
334,1,1.0,White,Male
335,1,1.0,White,Female
336,1,1.0,White,Male
337,1,1.0,White,Male
338,0,0.0,White,Female
339,1,1.0,Hispanic,Male
340,1,0.0,White,Female
341,1,1.0,White,Female
342,1,1.0,White,Female
343,1,0.0,Black,Male
344,0,0.0,Hispanic,Female
345,1,1.0,White,Female
